Date,Day,Hour,Item,Category,Price_NZD,Quantity,Revenue_NZD
2024-01-01,Monday,8,Croissant,Food,5.0,2,10.0
2024-01-01,Monday,12,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,10,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,9,Latte,Coffee,5.5,1,5.5
2024-01-01,Monday,11,Croissant,Food,5.0,2,10.0
2024-01-01,Monday,8,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,12,Green Tea,Tea,4.0,3,12.0
2024-01-01,Monday,17,Toastie,Food,8.0,1,8.0
2024-01-01,Monday,13,Banana Bread,Food,5.5,1,5.5
2024-01-01,Monday,11,English Breakfast,Tea,4.0,1,4.0
2024-01-01,Monday,9,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,9,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,12,Latte,Coffee,5.5,2,11.0
2024-01-01,Monday,15,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,13,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,17,Muffin,Food,4.5,1,4.5
2024-01-01,Monday,14,Green Tea,Tea,4.0,1,4.0
2024-01-01,Monday,8,Chai Latte,Coffee,6.0,1,6.0
2024-01-01,Monday,11,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,18,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,10,Latte,Coffee,5.5,1,5.5
2024-01-01,Monday,9,Cappuccino,Coffee,5.5,1,5.5
2024-01-01,Monday,9,Latte,Coffee,5.5,1,5.5
2024-01-01,Monday,15,Latte,Coffee,5.5,1,5.5
2024-01-01,Monday,18,Flat White,Coffee,5.5,3,16.5
2024-01-01,Monday,16,Long Black,Coffee,4.5,1,4.5
2024-01-01,Monday,11,Green Tea,Tea,4.0,2,8.0
2024-01-01,Monday,8,Green Tea,Tea,4.0,1,4.0
2024-01-01,Monday,14,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,17,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,11,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,8,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,9,Muffin,Food,4.5,1,4.5
2024-01-01,Monday,16,Cappuccino,Coffee,5.5,1,5.5
2024-01-01,Monday,11,Cappuccino,Coffee,5.5,1,5.5
2024-01-01,Monday,8,Long Black,Coffee,4.5,1,4.5
2024-01-01,Monday,17,Long Black,Coffee,4.5,1,4.5
2024-01-01,Monday,7,Green Tea,Tea,4.0,1,4.0
2024-01-01,Monday,12,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,13,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,13,English Breakfast,Tea,4.0,1,4.0
2024-01-01,Monday,14,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,18,Latte,Coffee,5.5,1,5.5
2024-01-01,Monday,11,Chai Latte,Coffee,6.0,2,12.0
2024-01-01,Monday,16,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,15,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,18,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,15,Banana Bread,Food,5.5,1,5.5
2024-01-01,Monday,16,Latte,Coffee,5.5,2,11.0
2024-01-01,Monday,14,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,9,Long Black,Coffee,4.5,1,4.5
2024-01-01,Monday,15,English Breakfast,Tea,4.0,1,4.0
2024-01-01,Monday,16,Latte,Coffee,5.5,1,5.5
2024-01-01,Monday,15,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,8,Cappuccino,Coffee,5.5,2,11.0
2024-01-01,Monday,12,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,8,Toastie,Food,8.0,2,16.0
2024-01-01,Monday,12,Chai Latte,Coffee,6.0,1,6.0
2024-01-01,Monday,8,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,16,Flat White,Coffee,5.5,2,11.0
2024-01-01,Monday,9,Banana Bread,Food,5.5,1,5.5
2024-01-01,Monday,14,Green Tea,Tea,4.0,3,12.0
2024-01-01,Monday,14,Long Black,Coffee,4.5,2,9.0
2024-01-01,Monday,18,Cappuccino,Coffee,5.5,2,11.0
2024-01-01,Monday,7,Chai Latte,Coffee,6.0,2,12.0
2024-01-01,Monday,10,Toastie,Food,8.0,2,16.0
2024-01-01,Monday,9,Toastie,Food,8.0,1,8.0
2024-01-01,Monday,15,English Breakfast,Tea,4.0,1,4.0
2024-01-01,Monday,15,Chai Latte,Coffee,6.0,1,6.0
2024-01-01,Monday,14,Long Black,Coffee,4.5,1,4.5
2024-01-01,Monday,9,Espresso,Coffee,4.0,2,8.0
2024-01-01,Monday,17,Chai Latte,Coffee,6.0,1,6.0
2024-01-01,Monday,10,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,7,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,17,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,11,Chai Latte,Coffee,6.0,1,6.0
2024-01-01,Monday,18,Green Tea,Tea,4.0,2,8.0
2024-01-01,Monday,9,Toastie,Food,8.0,1,8.0
2024-01-01,Monday,12,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,17,Banana Bread,Food,5.5,1,5.5
2024-01-01,Monday,10,Chai Latte,Coffee,6.0,1,6.0
2024-01-01,Monday,13,Toastie,Food,8.0,2,16.0
2024-01-01,Monday,11,Green Tea,Tea,4.0,1,4.0
2024-01-02,Tuesday,9,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,17,Toastie,Food,8.0,2,16.0
2024-01-02,Tuesday,12,Green Tea,Tea,4.0,1,4.0
2024-01-02,Tuesday,7,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,12,Chai Latte,Coffee,6.0,1,6.0
2024-01-02,Tuesday,11,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,16,Toastie,Food,8.0,1,8.0
2024-01-02,Tuesday,8,Banana Bread,Food,5.5,1,5.5
2024-01-02,Tuesday,10,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,9,Cappuccino,Coffee,5.5,1,5.5
2024-01-02,Tuesday,9,Muffin,Food,4.5,2,9.0
2024-01-02,Tuesday,8,Banana Bread,Food,5.5,1,5.5
2024-01-02,Tuesday,13,English Breakfast,Tea,4.0,1,4.0
2024-01-02,Tuesday,8,Flat White,Coffee,5.5,2,11.0
2024-01-02,Tuesday,15,Latte,Coffee,5.5,2,11.0
2024-01-02,Tuesday,9,Toastie,Food,8.0,1,8.0
2024-01-02,Tuesday,7,Latte,Coffee,5.5,1,5.5
2024-01-02,Tuesday,14,Croissant,Food,5.0,3,15.0
2024-01-02,Tuesday,12,English Breakfast,Tea,4.0,1,4.0
2024-01-02,Tuesday,13,Green Tea,Tea,4.0,2,8.0
2024-01-02,Tuesday,12,Cappuccino,Coffee,5.5,2,11.0
2024-01-02,Tuesday,11,Long Black,Coffee,4.5,2,9.0
2024-01-02,Tuesday,9,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,9,Latte,Coffee,5.5,2,11.0
2024-01-02,Tuesday,9,Chai Latte,Coffee,6.0,2,12.0
2024-01-02,Tuesday,8,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,8,Latte,Coffee,5.5,1,5.5
2024-01-02,Tuesday,10,Green Tea,Tea,4.0,1,4.0
2024-01-02,Tuesday,15,Muffin,Food,4.5,2,9.0
2024-01-02,Tuesday,7,Muffin,Food,4.5,1,4.5
2024-01-02,Tuesday,7,Espresso,Coffee,4.0,2,8.0
2024-01-02,Tuesday,15,Green Tea,Tea,4.0,1,4.0
2024-01-02,Tuesday,13,Muffin,Food,4.5,2,9.0
2024-01-02,Tuesday,11,Green Tea,Tea,4.0,1,4.0
2024-01-02,Tuesday,10,Banana Bread,Food,5.5,2,11.0
2024-01-02,Tuesday,13,English Breakfast,Tea,4.0,2,8.0
2024-01-02,Tuesday,18,Flat White,Coffee,5.5,2,11.0
2024-01-02,Tuesday,12,Flat White,Coffee,5.5,1,5.5
2024-01-02,Tuesday,10,English Breakfast,Tea,4.0,1,4.0
2024-01-02,Tuesday,9,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,10,Green Tea,Tea,4.0,1,4.0
2024-01-02,Tuesday,17,Espresso,Coffee,4.0,2,8.0
2024-01-02,Tuesday,11,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,17,Banana Bread,Food,5.5,1,5.5
2024-01-02,Tuesday,17,Flat White,Coffee,5.5,2,11.0
2024-01-02,Tuesday,9,Muffin,Food,4.5,1,4.5
2024-01-02,Tuesday,8,Latte,Coffee,5.5,1,5.5
2024-01-02,Tuesday,9,Espresso,Coffee,4.0,2,8.0
2024-01-02,Tuesday,8,Toastie,Food,8.0,2,16.0
2024-01-02,Tuesday,14,Espresso,Coffee,4.0,1,4.0
2024-01-02,Tuesday,7,Muffin,Food,4.5,1,4.5
2024-01-02,Tuesday,17,Toastie,Food,8.0,1,8.0
2024-01-02,Tuesday,12,Banana Bread,Food,5.5,1,5.5
2024-01-02,Tuesday,13,Banana Bread,Food,5.5,1,5.5
2024-01-02,Tuesday,8,Flat White,Coffee,5.5,1,5.5
2024-01-02,Tuesday,10,Latte,Coffee,5.5,1,5.5
2024-01-02,Tuesday,10,Green Tea,Tea,4.0,2,8.0
2024-01-02,Tuesday,8,Banana Bread,Food,5.5,2,11.0
2024-01-02,Tuesday,11,Green Tea,Tea,4.0,1,4.0
2024-01-02,Tuesday,12,Espresso,Coffee,4.0,1,4.0
2024-01-02,Tuesday,16,English Breakfast,Tea,4.0,1,4.0
2024-01-02,Tuesday,15,Espresso,Coffee,4.0,1,4.0
2024-01-02,Tuesday,9,Latte,Coffee,5.5,1,5.5
2024-01-02,Tuesday,11,English Breakfast,Tea,4.0,1,4.0
2024-01-02,Tuesday,13,Flat White,Coffee,5.5,1,5.5
2024-01-02,Tuesday,9,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,9,Muffin,Food,4.5,2,9.0
2024-01-02,Tuesday,9,Croissant,Food,5.0,2,10.0
2024-01-02,Tuesday,8,Green Tea,Tea,4.0,1,4.0
2024-01-02,Tuesday,14,English Breakfast,Tea,4.0,1,4.0
2024-01-02,Tuesday,11,Flat White,Coffee,5.5,1,5.5
2024-01-02,Tuesday,9,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,12,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,10,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,13,Espresso,Coffee,4.0,1,4.0
2024-01-02,Tuesday,8,Chai Latte,Coffee,6.0,1,6.0
2024-01-02,Tuesday,12,Toastie,Food,8.0,1,8.0
2024-01-02,Tuesday,9,Espresso,Coffee,4.0,2,8.0
2024-01-02,Tuesday,18,Muffin,Food,4.5,1,4.5
2024-01-02,Tuesday,8,Espresso,Coffee,4.0,1,4.0
2024-01-02,Tuesday,9,Toastie,Food,8.0,1,8.0
2024-01-02,Tuesday,9,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,17,English Breakfast,Tea,4.0,1,4.0
2024-01-02,Tuesday,7,English Breakfast,Tea,4.0,1,4.0
2024-01-02,Tuesday,10,Espresso,Coffee,4.0,2,8.0
2024-01-02,Tuesday,11,Latte,Coffee,5.5,1,5.5
2024-01-02,Tuesday,8,Banana Bread,Food,5.5,1,5.5
2024-01-02,Tuesday,8,Espresso,Coffee,4.0,1,4.0
2024-01-02,Tuesday,9,Green Tea,Tea,4.0,1,4.0
2024-01-02,Tuesday,14,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,16,Muffin,Food,4.5,3,13.5
2024-01-02,Tuesday,9,Flat White,Coffee,5.5,1,5.5
2024-01-02,Tuesday,13,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,9,Cappuccino,Coffee,5.5,1,5.5
2024-01-02,Tuesday,12,Flat White,Coffee,5.5,1,5.5
2024-01-02,Tuesday,13,Espresso,Coffee,4.0,1,4.0
2024-01-02,Tuesday,9,Toastie,Food,8.0,2,16.0
2024-01-02,Tuesday,8,Espresso,Coffee,4.0,2,8.0
2024-01-02,Tuesday,12,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,12,Cappuccino,Coffee,5.5,2,11.0
2024-01-02,Tuesday,15,Flat White,Coffee,5.5,1,5.5
2024-01-02,Tuesday,9,Muffin,Food,4.5,2,9.0
2024-01-02,Tuesday,11,Toastie,Food,8.0,1,8.0
2024-01-02,Tuesday,10,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,11,Flat White,Coffee,5.5,2,11.0
2024-01-02,Tuesday,13,Espresso,Coffee,4.0,1,4.0
2024-01-02,Tuesday,9,Muffin,Food,4.5,1,4.5
2024-01-02,Tuesday,7,Banana Bread,Food,5.5,2,11.0
2024-01-02,Tuesday,12,Cappuccino,Coffee,5.5,1,5.5
2024-01-02,Tuesday,13,Espresso,Coffee,4.0,1,4.0
2024-01-02,Tuesday,12,English Breakfast,Tea,4.0,3,12.0
2024-01-02,Tuesday,11,Chai Latte,Coffee,6.0,1,6.0
2024-01-02,Tuesday,8,Chai Latte,Coffee,6.0,1,6.0
2024-01-02,Tuesday,11,Green Tea,Tea,4.0,2,8.0
2024-01-02,Tuesday,12,Latte,Coffee,5.5,1,5.5
2024-01-02,Tuesday,9,Green Tea,Tea,4.0,2,8.0
2024-01-02,Tuesday,15,Banana Bread,Food,5.5,2,11.0
2024-01-02,Tuesday,11,Long Black,Coffee,4.5,1,4.5
2024-01-02,Tuesday,12,Banana Bread,Food,5.5,1,5.5
2024-01-02,Tuesday,8,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,9,Toastie,Food,8.0,1,8.0
2024-01-02,Tuesday,7,Muffin,Food,4.5,2,9.0
2024-01-02,Tuesday,13,Croissant,Food,5.0,1,5.0
2024-01-02,Tuesday,10,Latte,Coffee,5.5,1,5.5
2024-01-03,Wednesday,13,English Breakfast,Tea,4.0,2,8.0
2024-01-03,Wednesday,9,Espresso,Coffee,4.0,1,4.0
2024-01-03,Wednesday,11,Long Black,Coffee,4.5,1,4.5
2024-01-03,Wednesday,8,Muffin,Food,4.5,1,4.5
2024-01-03,Wednesday,16,Latte,Coffee,5.5,1,5.5
2024-01-03,Wednesday,14,Chai Latte,Coffee,6.0,2,12.0
2024-01-03,Wednesday,11,Flat White,Coffee,5.5,1,5.5
2024-01-03,Wednesday,9,Muffin,Food,4.5,3,13.5
2024-01-03,Wednesday,11,English Breakfast,Tea,4.0,1,4.0
2024-01-03,Wednesday,10,Croissant,Food,5.0,1,5.0
2024-01-03,Wednesday,17,Long Black,Coffee,4.5,3,13.5
2024-01-03,Wednesday,9,Long Black,Coffee,4.5,2,9.0
2024-01-03,Wednesday,10,Toastie,Food,8.0,1,8.0
2024-01-03,Wednesday,16,Green Tea,Tea,4.0,3,12.0
2024-01-03,Wednesday,14,Cappuccino,Coffee,5.5,1,5.5
2024-01-03,Wednesday,7,Muffin,Food,4.5,1,4.5
2024-01-03,Wednesday,8,English Breakfast,Tea,4.0,1,4.0
2024-01-03,Wednesday,16,Toastie,Food,8.0,1,8.0
2024-01-03,Wednesday,15,Latte,Coffee,5.5,1,5.5
2024-01-03,Wednesday,18,Muffin,Food,4.5,1,4.5
2024-01-03,Wednesday,13,Chai Latte,Coffee,6.0,2,12.0
2024-01-03,Wednesday,15,Chai Latte,Coffee,6.0,1,6.0
2024-01-03,Wednesday,16,Croissant,Food,5.0,1,5.0
2024-01-03,Wednesday,8,Banana Bread,Food,5.5,2,11.0
2024-01-03,Wednesday,18,Latte,Coffee,5.5,1,5.5
2024-01-03,Wednesday,8,Toastie,Food,8.0,2,16.0
2024-01-03,Wednesday,11,Espresso,Coffee,4.0,2,8.0
2024-01-03,Wednesday,7,Flat White,Coffee,5.5,1,5.5
2024-01-03,Wednesday,10,Long Black,Coffee,4.5,1,4.5
2024-01-03,Wednesday,12,Cappuccino,Coffee,5.5,1,5.5
2024-01-03,Wednesday,8,Green Tea,Tea,4.0,1,4.0
2024-01-03,Wednesday,9,Muffin,Food,4.5,1,4.5
2024-01-03,Wednesday,11,English Breakfast,Tea,4.0,1,4.0
2024-01-03,Wednesday,7,English Breakfast,Tea,4.0,2,8.0
2024-01-03,Wednesday,13,Latte,Coffee,5.5,1,5.5
2024-01-03,Wednesday,10,Espresso,Coffee,4.0,1,4.0
2024-01-03,Wednesday,10,English Breakfast,Tea,4.0,2,8.0
2024-01-03,Wednesday,9,English Breakfast,Tea,4.0,1,4.0
2024-01-03,Wednesday,10,Muffin,Food,4.5,1,4.5
2024-01-03,Wednesday,13,Banana Bread,Food,5.5,1,5.5
2024-01-03,Wednesday,7,Banana Bread,Food,5.5,2,11.0
2024-01-03,Wednesday,18,Muffin,Food,4.5,2,9.0
2024-01-03,Wednesday,15,Espresso,Coffee,4.0,2,8.0
2024-01-03,Wednesday,9,Chai Latte,Coffee,6.0,1,6.0
2024-01-03,Wednesday,9,Banana Bread,Food,5.5,2,11.0
2024-01-03,Wednesday,14,Cappuccino,Coffee,5.5,1,5.5
2024-01-03,Wednesday,16,Flat White,Coffee,5.5,1,5.5
2024-01-03,Wednesday,11,Chai Latte,Coffee,6.0,2,12.0
2024-01-03,Wednesday,8,Chai Latte,Coffee,6.0,2,12.0
2024-01-03,Wednesday,9,Croissant,Food,5.0,2,10.0
2024-01-03,Wednesday,10,Espresso,Coffee,4.0,2,8.0
2024-01-03,Wednesday,9,English Breakfast,Tea,4.0,3,12.0
2024-01-03,Wednesday,9,Chai Latte,Coffee,6.0,2,12.0
2024-01-03,Wednesday,11,Cappuccino,Coffee,5.5,2,11.0
2024-01-03,Wednesday,9,Toastie,Food,8.0,1,8.0
2024-01-03,Wednesday,10,Croissant,Food,5.0,1,5.0
2024-01-03,Wednesday,14,Espresso,Coffee,4.0,1,4.0
2024-01-03,Wednesday,11,Toastie,Food,8.0,1,8.0
2024-01-03,Wednesday,12,Banana Bread,Food,5.5,2,11.0
2024-01-03,Wednesday,8,English Breakfast,Tea,4.0,1,4.0
2024-01-03,Wednesday,16,Chai Latte,Coffee,6.0,2,12.0
2024-01-03,Wednesday,9,Banana Bread,Food,5.5,2,11.0
2024-01-03,Wednesday,16,Banana Bread,Food,5.5,1,5.5
2024-01-03,Wednesday,8,Espresso,Coffee,4.0,3,12.0
2024-01-03,Wednesday,8,Croissant,Food,5.0,1,5.0
2024-01-03,Wednesday,11,Toastie,Food,8.0,1,8.0
2024-01-03,Wednesday,12,Toastie,Food,8.0,2,16.0
2024-01-03,Wednesday,16,Latte,Coffee,5.5,2,11.0
2024-01-03,Wednesday,12,Flat White,Coffee,5.5,1,5.5
2024-01-03,Wednesday,9,Long Black,Coffee,4.5,2,9.0
2024-01-03,Wednesday,8,Chai Latte,Coffee,6.0,1,6.0
2024-01-03,Wednesday,18,Flat White,Coffee,5.5,1,5.5
2024-01-03,Wednesday,9,English Breakfast,Tea,4.0,1,4.0
2024-01-03,Wednesday,9,Muffin,Food,4.5,3,13.5
2024-01-03,Wednesday,7,Long Black,Coffee,4.5,3,13.5
2024-01-03,Wednesday,14,Latte,Coffee,5.5,2,11.0
2024-01-03,Wednesday,12,Long Black,Coffee,4.5,2,9.0
2024-01-03,Wednesday,9,Cappuccino,Coffee,5.5,2,11.0
2024-01-03,Wednesday,12,Cappuccino,Coffee,5.5,3,16.5
2024-01-03,Wednesday,12,Cappuccino,Coffee,5.5,1,5.5
2024-01-03,Wednesday,15,Flat White,Coffee,5.5,1,5.5
2024-01-03,Wednesday,14,Chai Latte,Coffee,6.0,1,6.0
2024-01-03,Wednesday,9,Toastie,Food,8.0,1,8.0
2024-01-03,Wednesday,8,English Breakfast,Tea,4.0,1,4.0
2024-01-03,Wednesday,10,Latte,Coffee,5.5,1,5.5
2024-01-03,Wednesday,9,Flat White,Coffee,5.5,2,11.0
2024-01-03,Wednesday,16,Croissant,Food,5.0,1,5.0
2024-01-04,Thursday,17,English Breakfast,Tea,4.0,2,8.0
2024-01-04,Thursday,10,English Breakfast,Tea,4.0,2,8.0
2024-01-04,Thursday,11,Latte,Coffee,5.5,1,5.5
2024-01-04,Thursday,8,Espresso,Coffee,4.0,1,4.0
2024-01-04,Thursday,12,Chai Latte,Coffee,6.0,1,6.0
2024-01-04,Thursday,12,English Breakfast,Tea,4.0,1,4.0
2024-01-04,Thursday,10,Toastie,Food,8.0,1,8.0
2024-01-04,Thursday,13,Croissant,Food,5.0,2,10.0
2024-01-04,Thursday,9,Long Black,Coffee,4.5,1,4.5
2024-01-04,Thursday,15,Green Tea,Tea,4.0,2,8.0
2024-01-04,Thursday,9,Banana Bread,Food,5.5,1,5.5
2024-01-04,Thursday,17,English Breakfast,Tea,4.0,1,4.0
2024-01-04,Thursday,15,Green Tea,Tea,4.0,1,4.0
2024-01-04,Thursday,13,Cappuccino,Coffee,5.5,1,5.5
2024-01-04,Thursday,12,Croissant,Food,5.0,1,5.0
2024-01-04,Thursday,8,Banana Bread,Food,5.5,2,11.0
2024-01-04,Thursday,10,Toastie,Food,8.0,1,8.0
2024-01-04,Thursday,9,Chai Latte,Coffee,6.0,1,6.0
2024-01-04,Thursday,11,Banana Bread,Food,5.5,1,5.5
2024-01-04,Thursday,15,Croissant,Food,5.0,1,5.0
2024-01-04,Thursday,14,Long Black,Coffee,4.5,2,9.0
2024-01-04,Thursday,15,Muffin,Food,4.5,1,4.5
2024-01-04,Thursday,13,Muffin,Food,4.5,2,9.0
2024-01-04,Thursday,15,Flat White,Coffee,5.5,1,5.5
2024-01-04,Thursday,13,Chai Latte,Coffee,6.0,1,6.0
2024-01-04,Thursday,9,Muffin,Food,4.5,1,4.5
2024-01-04,Thursday,8,Banana Bread,Food,5.5,3,16.5
2024-01-04,Thursday,8,Long Black,Coffee,4.5,1,4.5
2024-01-04,Thursday,11,Chai Latte,Coffee,6.0,1,6.0
2024-01-04,Thursday,9,Muffin,Food,4.5,1,4.5
2024-01-04,Thursday,8,Muffin,Food,4.5,1,4.5
2024-01-04,Thursday,8,Banana Bread,Food,5.5,1,5.5
2024-01-04,Thursday,12,Espresso,Coffee,4.0,1,4.0
2024-01-04,Thursday,11,Green Tea,Tea,4.0,1,4.0
2024-01-04,Thursday,13,English Breakfast,Tea,4.0,1,4.0
2024-01-04,Thursday,9,Green Tea,Tea,4.0,3,12.0
2024-01-04,Thursday,8,Espresso,Coffee,4.0,2,8.0
2024-01-04,Thursday,14,Espresso,Coffee,4.0,1,4.0
2024-01-04,Thursday,8,Toastie,Food,8.0,1,8.0
2024-01-04,Thursday,8,Toastie,Food,8.0,1,8.0
2024-01-04,Thursday,12,Chai Latte,Coffee,6.0,1,6.0
2024-01-04,Thursday,15,Green Tea,Tea,4.0,1,4.0
2024-01-04,Thursday,16,Chai Latte,Coffee,6.0,1,6.0
2024-01-04,Thursday,12,Banana Bread,Food,5.5,1,5.5
2024-01-04,Thursday,8,Chai Latte,Coffee,6.0,1,6.0
2024-01-04,Thursday,17,Toastie,Food,8.0,2,16.0
2024-01-04,Thursday,8,Latte,Coffee,5.5,1,5.5
2024-01-04,Thursday,12,Latte,Coffee,5.5,1,5.5
2024-01-04,Thursday,9,Long Black,Coffee,4.5,1,4.5
2024-01-04,Thursday,8,Banana Bread,Food,5.5,1,5.5
2024-01-04,Thursday,11,Chai Latte,Coffee,6.0,1,6.0
2024-01-04,Thursday,17,Cappuccino,Coffee,5.5,1,5.5
2024-01-04,Thursday,8,Cappuccino,Coffee,5.5,1,5.5
2024-01-04,Thursday,14,Latte,Coffee,5.5,1,5.5
2024-01-04,Thursday,14,English Breakfast,Tea,4.0,2,8.0
2024-01-04,Thursday,14,Banana Bread,Food,5.5,2,11.0
2024-01-04,Thursday,12,Muffin,Food,4.5,1,4.5
2024-01-04,Thursday,18,Cappuccino,Coffee,5.5,1,5.5
2024-01-04,Thursday,11,Espresso,Coffee,4.0,2,8.0
2024-01-04,Thursday,12,Croissant,Food,5.0,1,5.0
2024-01-04,Thursday,11,Flat White,Coffee,5.5,1,5.5
2024-01-04,Thursday,9,Latte,Coffee,5.5,1,5.5
2024-01-04,Thursday,11,Muffin,Food,4.5,1,4.5
2024-01-04,Thursday,14,Flat White,Coffee,5.5,1,5.5
2024-01-04,Thursday,14,Long Black,Coffee,4.5,1,4.5
2024-01-04,Thursday,11,Flat White,Coffee,5.5,1,5.5
2024-01-04,Thursday,14,Chai Latte,Coffee,6.0,3,18.0
2024-01-04,Thursday,8,Cappuccino,Coffee,5.5,1,5.5
2024-01-04,Thursday,13,Croissant,Food,5.0,1,5.0
2024-01-04,Thursday,8,Espresso,Coffee,4.0,1,4.0
2024-01-04,Thursday,14,Muffin,Food,4.5,1,4.5
2024-01-04,Thursday,12,Latte,Coffee,5.5,1,5.5
2024-01-04,Thursday,12,Espresso,Coffee,4.0,1,4.0
2024-01-04,Thursday,15,Muffin,Food,4.5,2,9.0
2024-01-04,Thursday,10,Banana Bread,Food,5.5,1,5.5
2024-01-04,Thursday,10,Toastie,Food,8.0,1,8.0
2024-01-04,Thursday,8,Latte,Coffee,5.5,1,5.5
2024-01-04,Thursday,10,Chai Latte,Coffee,6.0,2,12.0
